@type,@id,accrualPeriodicity,created,description,keyword,modified,publisher,representation,resourceEndpoint,spatialCoverage,standardLicense,theme,title,dataCategory,mdp:mdpBrokering,networkCoverage,mdp:publicationId,transportMode,typeOfTermsOfUse,visibility,creationDate,accessURL,endpointArtifact,endpointDocumentation,accessProtocol,mdp:providedByMDP,license,instance,mediaType,dataModel,legalForm,legalName,geometry,geometryRepresentation
ids:DataResource,https://mobilithek.info//offers/-1305288727/-1980489185/497913269,https://w3id.org/idsa/code/IRREGULAR,2023-01-24T23:00:00.000Z,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,2023-01-24T23:00:00.000Z,https://w3id.org/idsa/autogen/participant/2f3ed93b-1a0e-4b39-b983-c659495a27ee,https://w3id.org/idsa/autogen/dataRepresentation/2be7cda1-2387-48ed-bf94-ee4ec68e7f1b,https://w3id.org/idsa/autogen/connectorEndpoint/27ef88a3-c78b-4a4a-9da4-b12ade3db9e7,https://w3id.org/idsa/autogen/polygon/09478abd-5427-4d4c-9d1b-1af94adb44e5;https://w3id.org/idsa/autogen/polygon/39708fa1-36a1-4204-8ccc-5978d669dba5,http://dcat-ap.de/def/licenses/dl-by-de/2.0,http://publications.europa.eu/resource/authority/data-theme/REGI;http://publications.europa.eu/resource/authority/data-theme/TRAN,,https://w3id.org/mdp/schema/data_categories#CLIMATE_AND_WEATHER,false,https://w3id.org/mdp/schema/network_coverage#NETWORK_OTHER,-7149794394747118734,https://w3id.org/mdp/schema/transport_mode#TRANSPORT_OTHER,https://w3id.org/mdp/schema/license#LICENSE_FREE_USE_OPEN_DATA,http://publications.europa.eu/resource/authority/access-right/PUBLIC,,,,,,,,,,,,,,
mdp:AccessRights,http://publications.europa.eu/resource/authority/access-right/PUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ids:CustomMediaType,http://publications.europa.eu/resource/authority/file-type/GML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:GeoRepresentation,http://www.opengis.net/ont/geosparql#wktLiteral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ids:Artifact,https://w3id.org/idsa/autogen/artifact/eb524b82-4c0d-41ea-8af1-50ef9ae805f3,,,,,,,,,,,,,,,,,,,,2023-01-28T23:49:57.486Z,,,,,,,,,,,,,
ids:ConnectorEndpoint,https://w3id.org/idsa/autogen/connectorEndpoint/27ef88a3-c78b-4a4a-9da4-b12ade3db9e7,,,,,,,,,,,,,,,,,,,,,https://datahub.uba.de/server/rest/directories/arcgisforinspire/INSPIRE/aqd_MapServer/Daten/AQD_DE_E1b_2021.zip,https://w3id.org/idsa/autogen/artifact/eb524b82-4c0d-41ea-8af1-50ef9ae805f3,https://datahub.uba.de/server/rest/directories/arcgisforinspire/INSPIRE/aqd_MapServer/Daten/AQD_DE_E1b_2021.zip,https://w3id.org/mdp/schema/access_protocol#HTTPS,false,,,,,,,,
ids:DataRepresentation,https://w3id.org/idsa/autogen/dataRepresentation/2be7cda1-2387-48ed-bf94-ee4ec68e7f1b,,,AQD_DE_E1b_2021.zip,,,,,,,,,,,,,,,https://w3id.org/mdp/schema/license#LICENSE_FREE_USE_OPEN_DATA,,,,,,,,http://dcat-ap.de/def/licenses/dl-by-de/2.0,https://w3id.org/idsa/autogen/artifact/eb524b82-4c0d-41ea-8af1-50ef9ae805f3,http://publications.europa.eu/resource/authority/file-type/GML,https://w3id.org/mdp/schema/data_model#MODEL_OTHER,,,,
ids:Participant,https://w3id.org/idsa/autogen/participant/2f3ed93b-1a0e-4b39-b983-c659495a27ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,Umweltbundesamt,,
mdp:Polygon,https://w3id.org/idsa/autogen/polygon/09478abd-5427-4d4c-9d1b-1af94adb44e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLYGON ((5.85 55.09", 15.05 55.09", 15.05 47.27", 5.85 47.27", 5.85 55.09)),http://www.opengis.net/ont/geosparql#wktLiteral
mdp:Polygon,https://w3id.org/idsa/autogen/polygon/39708fa1-36a1-4204-8ccc-5978d669dba5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLYGON ((5.85 55.09", 15.05 55.09", 15.05 47.27", 5.85 47.27", 5.85 55.09)),http://www.opengis.net/ont/geosparql#wktLiteral
ids:Frequency,https://w3id.org/idsa/code/IRREGULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:AccessProtocol,https://w3id.org/mdp/schema/access_protocol#HTTPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:DataCategory,https://w3id.org/mdp/schema/data_categories#CLIMATE_AND_WEATHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:DataModel,https://w3id.org/mdp/schema/data_model#MODEL_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:MdpLicense,https://w3id.org/mdp/schema/license#LICENSE_FREE_USE_OPEN_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:NetworkCoverage,https://w3id.org/mdp/schema/network_coverage#NETWORK_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdp:TransportMode,https://w3id.org/mdp/schema/transport_mode#TRANSPORT_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
