2008;Wallraf-Richartz-Museum - Fondation Corboud;Museum Ludwig;Römisch-Germanisches Museum;Rautenstrauch-Joest-Museum;Museum für Angewandte Kunst;Museum für Ostasiatische Kunst;Museum Schnütgen;Kölnisches Stadtmuseum;NS-Dokumentationszentrum;Archäologische Zone;Museen gesamt
Jan;5.265;38.047;10.531;6.636;2.501;1.853;814;3.521;3.456;2.824;75.448
Feb;6.788;28.576;7.778;0;1.982;1.413;565;3.499;2.705;2.262;55.568
Mrz;23.432;59.720;16.070;0;4.386;2.288;822;4.174;10.458;4.951;126.301
Apr;22.901;26.752;13.734;0;2.609;2.015;881;3.972;4.234;5.176;82.274
Mai;26.599;32.968;19.863;0;8.762;1.608;1.376;5.392;4.391;6.839;107.798
Jun;19.759;17.632;18.125;0;4.297;1.013;796;7.458;6.824;6.393;82.297
Jul;11.791;12.809;16.314;0;1.693;1.726;774;5.127;1.959;5.863;58.056
Aug;11.012;16.998;14.826;0;1.352;1.634;699;5.889;2.241;7.850;62.501
Sep;9.835;13.833;12.838;0;1.291;1.253;629;7.116;2.960;7.351;57.106
Okt;9.318;29.873;18.025;0;3.146;1.853;973;8.031;2.668;5.359;79.246
Nov;30.421;39.269;15.529;0;12.873;4.077;2.110;9.473;5.810;14.891;134.453
Dez;18.477;31.936;12.632;0;2.638;928;607;3.109;4.242;4.257;78.826
Jahressumme;195.598;348.413;176.265;6.636;47.530;21.661;11.046;66.761;51.948;74.016;999.874
